Age,Own.Home,Sex,Children,Income,Smallest.Gift,Largest.Gift,Current.Gift,Other.Gifts,Time.Between.Gifts
84,H,M,0,3,8,30,50,12,19
80,U,M,0,6,5,50,50,0,12
55,H,M,0,1,25,50,50,0,1
82,H,F,0,4,2,50,50,0,11
63,H,F,0,1,10,100,50,0,4
57,H,F,0,5,8,51,48,14,3
90,H,M,0,1,10,37,47,0,12
90,H,M,0,4,20,44,47,16,0
75,H,F,0,4,3,100,47,3,62
54,U,F,0,1,5,50,47,0,12
68,U,F,0,1,15,36,46,0,13
78,H,F,0,2,5,30,46,0,11
55,H,F,0,1,2,45,45,0,23
62,H,F,1,4,5,46,45,2,9
55,U,M,0,1,10,12,45,0,5
46,H,M,0,3,10,43,45,7,24
58,U,M,0,1,25,25,45,0,2
54,H,M,0,5,5,50,45,0,2
78,H,F,2,7,10,25,45,1,2
57,H,M,0,4,3,20,45,3,4
77,U,F,0,1,18.35,33.01,44.21,0,22
65,H,F,0,5,5,29,44,0,6
69,H,M,0,2,25,50,44,20,2
54,H,F,0,1,5,100,43,0,14
58,H,M,0,6,20,31,43,0,6
73,H,M,0,1,5,42,42,0,19
88,H,M,0,5,15,40,42,19,7
42,H,M,2,7,25,40,41,0,5
58,H,F,0,4,10,41,41,17,18
58,H,M,1,5,5,25,40,12,3
64,H,M,0,6,5,35,40,0,2
21,H,M,3,7,10,25,40,11,12
66,H,M,0,6,0,25,40,0,2
77,U,M,0,3,10,28,40,16,4
51,H,F,0,2,5,30,40,14,12
61,H,F,0,5,5,25,40,0,4
64,H,M,0,7,25,35,40,0,5
85,H,M,1,5,25,30,40,2,4
78,H,M,0,4,10,40,40,14,11
43,H,M,1,2,25,40,40,0,17
73,U,M,0,2,10,17,40,0,4
52,U,F,1,3,3,20,40,0,15
55,U,F,0,3,5,30,40,0,0
57,U,F,0,1,0,25,40,0,19
54,H,M,0,5,25,35,40,1,24
52,H,M,0,2,5,30,40,15,2
78,H,F,0,1,25,35,40,0,2
37,H,M,2,6,3,23,40,2,5
45,U,M,0,2,20,20,40,0,2
43,H,M,0,5,5,25,40,0,4
45,H,F,0,1,10,40,40,0,11
52,U,M,1,5,3,32,40,0,4
68,H,F,0,5,2,17,40,4,5
82,U,M,0,6,10,40,40,0,8
49,H,M,0,1,20,30,40,0,6
65,U,M,0,2,23,30,40,15,9
74,H,M,0,5,5,19,38,1,11
44,H,F,1,7,20,40,38,0,5
70,U,M,0,1,10,60,38,0,9
77,H,F,0,1,5,26,38,0,7
63,H,M,0,1,3,24,38,0,14
47,H,F,0,4,3,25,38,0,7
79,H,F,0,1,5,25,38,0,4
75,H,M,0,2,15,38,38,16,4
41,H,M,0,5,5,25,37,1,11
47,U,M,0,1,10,35,37,0,9
62,H,F,0,3,5,25,37,12,10
69,U,F,0,5,6,25,37,0,1
78,H,M,0,7,5,23,37,12,10
77,H,M,0,4,3,22,37,3,15
74,H,F,1,4,36,36,36,0,7
44,H,M,2,7,10,40,36,1,8
73,H,F,0,1,15,26,36,0,11
51,H,M,0,6,5,40,36,9,9
76,U,M,0,1,10,175,36,0,12
46,U,F,0,3,15,27,36,0,3
76,H,F,0,5,3,23,36,2,15
78,H,F,0,6,5,23,36,8,3
87,U,M,0,1,10,25,36,21,6
59,H,F,0,3,5,20,35,9,8
76,U,F,0,1,20,20,35,0,2
86,U,F,0,1,3,30,35,3,6
46,H,F,0,6,5,25,35,0,14
62,H,M,0,1,20,20,35,0,17
68,H,F,0,1,35,35,35,0,3
51,H,M,1,2,3,25,35,2,2
44,H,M,0,3,10,35,35,0,10
64,U,F,0,1,5,35,35,0,13
69,H,M,0,1,20,35,35,0,7
58,U,F,0,5,5,24,35,0,7
79,H,M,0,7,3,25,35,0,4
51,H,F,0,5,10,35,35,0,11
63,H,M,0,6,3,30,35,13,12
66,H,F,0,4,10,20,35,1,2
55,H,F,0,5,10,30,35,2,9
80,H,M,0,3,5,20,35,2,6
60,U,M,0,1,3,47,35,0,3
36,H,M,0,6,15,25,35,4,7
34,H,F,0,5,20,20,35,0,6
77,H,M,0,1,5,30,35,0,6
68,H,M,0,7,25,25,35,0,10
83,U,F,0,1,20,25,35,0,8
50,H,F,0,6,30,35,35,0,14
54,U,M,0,2,20,20,35,0,5
82,H,M,0,2,3,30,35,16,25
73,H,M,0,5,15,25,35,2,4
76,H,M,0,1,10,35,35,0,6
45,U,F,0,6,5,35,35,0,8
62,H,F,0,4,10,35,35,0,5
40,U,M,0,7,15,25,35,4,21
40,H,F,1,7,10,25,35,13,29
46,H,M,2,7,15,20,35,0,9
83,H,F,0,5,3,30,35,0,5
65,U,F,0,1,5,30,35,0,3
76,H,F,0,3,10,50,35,3,4
52,H,F,0,5,20,20,35,7,11
83,U,M,0,1,5,32,34,0,23
36,H,F,0,4,0,30,34,0,5
91,U,F,0,5,10,35,33,7,2
51,H,F,0,1,23,25,33,0,9
47,H,F,0,1,5,25,33,0,6
36,U,F,0,2,5,15,32,4,2
82,U,M,0,5,3,27,32,0,12
68,U,F,0,1,3,27,32,0,5
76,H,M,0,5,5,30,32,0,7
58,H,M,0,5,10,25,32,0,9
70,U,M,0,1,3,20,32,0,2
78,H,F,0,1,5,30,32,0,9
67,U,F,0,2,5,50,32,25,11
60,U,F,0,3,5,40,32,0,4
84,H,F,0,1,5,17,32,0,8
56,H,M,0,1,5,25,32,0,5
56,H,F,0,7,5,30,32,0,9
76,H,F,0,6,15,35,31,5,6
40,H,F,2,6,5,16,31,0,4
81,H,M,0,2,15,30,31,2,4
60,U,F,0,1,15,15,30,0,9
89,U,M,0,1,3,25,30,0,9
61,U,F,0,1,10,30,30,0,9
49,H,M,0,1,10,20,30,0,15
55,H,F,1,3,20,30,30,17,7
48,H,M,0,5,20,20,30,3,10
39,U,F,0,2,10,33,30,0,5
73,H,F,0,5,10,20,30,2,12
76,U,M,0,6,3,35,30,2,8
64,H,F,1,5,20,25,30,0,9
77,H,M,0,4,15,20,30,18,10
50,H,M,0,5,25,25,30,0,0
44,U,F,0,4,10,28,30,0,8
64,H,M,0,4,3,25,30,19,11
82,U,F,0,2,3,30,30,2,1
66,U,F,0,1,15,15,30,0,4
57,H,M,0,2,5,20,30,16,8
46,H,M,0,6,20,20,30,0,1
49,H,F,0,4,25,25,30,5,10
80,H,M,0,4,5,30,30,20,16
75,H,F,0,3,5,20,30,39,7
58,H,F,0,1,25,25,30,0,6
56,H,M,0,1,25,25,30,0,3
80,H,M,0,7,10,25,30,1,3
54,U,F,0,6,25,40,30,6,5
45,H,F,0,5,20,20,30,4,4
42,U,M,0,5,20,25,30,0,7
44,H,F,0,7,5,25,30,7,8
72,H,M,0,7,10,40,30,0,6
54,U,M,0,3,20,25,30,0,6
61,H,M,0,7,5,30,30,0,22
42,U,M,0,6,15,19,30,2,15
42,U,M,0,3,5,30,30,3,7
89,H,M,0,5,5,50,30,7,4
70,U,F,0,2,25,25,30,2,5
83,H,M,0,6,15,35,30,0,12
62,H,F,0,7,20,25,30,2,2
44,H,F,0,6,3,50,30,1,8
65,U,F,0,2,5,30,30,1,4
50,U,F,0,1,25,25,30,0,3
55,U,F,0,1,25,30,30,0,13
27,H,F,3,4,25,25,30,1,1
57,U,M,0,1,20,20,30,0,1
50,H,F,0,7,25,25,30,0,10
57,U,F,0,2,3,21,30,1,6
66,H,F,0,3,7,25,30,6,10
57,H,M,0,2,5,25,30,9,9
38,H,F,1,6,25,25,30,0,5
70,U,M,0,3,25,50,30,0,26
56,H,F,0,4,5,25,30,0,10
56,H,F,0,1,10,20,30,0,27
83,H,F,0,1,10,20,30,6,5
31,H,M,0,6,10,35,30,3,24
34,U,F,0,2,5,15,30,0,11
66,U,F,0,1,10,17,30,3,22
92,U,F,0,1,5,36,30,10,18
84,U,M,0,1,5,20,30,5,3
71,H,M,2,7,20,25,30,0,3
65,U,F,1,3,10,30,30,8,2
40,H,F,0,1,5,70,30,0,14
44,H,F,1,4,5,20,30,3,10
55,H,F,0,6,25,25,30,0,7
77,H,F,2,1,15,35,30,2,13
66,U,F,0,4,10,20,30,0,8
33,U,M,0,1,25,25,30,0,6
49,H,F,1,4,10,25,30,9,4
51,U,F,0,3,25,30,30,0,6
73,U,F,0,5,5,12,30,1,3
60,H,M,0,1,30,30,30,0,9
49,H,F,0,5,15,15,30,0,5
36,H,F,0,4,5,24,30,0,9
56,H,F,0,2,25,30,30,0,16
54,H,F,0,7,20,50,30,0,7
61,H,F,0,5,5,25,30,0,8
65,H,F,0,6,10,20,30,0,3
37,H,M,2,4,20,32,30,1,6
50,U,M,0,5,5,30,30,240,29
59,H,M,0,2,10,30,30,9,13
43,H,M,1,7,3,25,30,1,9
83,H,F,0,1,15,25,30,6,3
56,H,M,0,5,25,25,30,0,14
54,H,M,0,4,25,25,30,0,2
76,H,M,0,1,20,20,30,0,6
66,H,M,0,7,30,30,30,4,9
51,H,M,0,7,23,30,30,11,7
48,H,M,0,7,5,40,30,0,3
28,H,F,1,5,23,23,30,1,3
63,H,F,0,2,10,25,30,1,32
43,U,F,0,2,20,20,30,0,7
59,U,F,0,6,5,25,30,0,9
42,H,F,0,5,5,30,30,2,10
63,H,F,0,7,5,20,30,0,4
54,H,F,0,3,10,25,30,0,8
68,H,F,0,6,3,20,30,0,1
76,U,F,0,1,20,30,30,1,5
65,H,M,2,5,20,20,30,9,6
38,H,M,0,7,25,25,30,0,8
38,H,M,0,6,10,16,30,7,11
67,H,F,0,4,10,24,29,3,11
51,H,F,0,7,10,24,29,0,9
26,U,F,0,2,20,35,28,0,5
52,U,F,0,2,5,26,28,0,3
76,H,F,0,5,15,25,28,2,8
71,H,F,0,7,10,25,28,4,9
49,H,M,1,5,10,25,28,0,4
48,U,F,0,1,23,28,28,0,11
64,H,M,0,4,15,15,27,22,3
55,H,M,0,5,25,30,27,0,4
73,H,M,0,6,10,29,27,13,6
51,U,F,0,1,2,31,27,0,8
51,H,F,0,6,10,25,27,0,16
68,H,F,0,4,10,30,27,7,8
70,H,F,0,1,5,30,27,0,9
62,U,M,0,2,3,30,27,0,25
78,U,F,0,5,10,30,27,4,7
48,H,M,2,7,3,21,26,0,16
50,H,F,0,4,5,25,26,0,18
50,H,F,1,7,5,21,26,6,14
56,H,F,0,1,15,25,26,0,9
68,H,F,0,1,10,24,26,0,7
56,H,M,0,4,3,30,26,1,9
67,H,F,1,7,5,21,26,15,3
49,H,M,0,5,5,28,26,1,4
51,H,M,0,7,5,15,26,3,14
74,H,M,0,2,5,26,26,0,13
36,H,F,0,4,15,26,26,0,11
62,U,F,0,4,10,21,26,0,7
80,H,M,0,6,20,22,26,2,23
42,H,M,2,6,4,21,26,0,18
46,H,F,1,6,5,50,26,14,2
69,H,M,0,7,3,21,26,24,11
76,H,M,0,3,5,25,26,4,10
68,H,F,0,5,5,21,26,3,13
51,H,F,0,1,5,30,26,0,17
90,H,F,0,6,5,26,26,0,10
42,H,F,0,6,3,50,26,0,4
80,U,M,0,2,3,15,26,0,7
80,U,M,0,7,5,30,26,0,10
39,H,M,0,2,5,30,26,0,15
41,H,F,1,5,10,21,26,0,4
50,H,M,0,6,25,25,25,2,10
81,H,M,0,6,15,15,25,12,10
57,U,F,0,1,10,25,25,0,10
48,H,M,0,5,25,25,25,1,0
87,U,M,0,1,3,25,25,0,4
41,H,M,0,5,5,25,25,6,5
65,H,M,0,7,10,25,25,0,2
72,H,F,0,1,20,27,25,0,10
47,H,F,0,7,5,20,25,1,6
55,H,M,0,1,20,20,25,0,6
65,U,M,0,5,5,25,25,2,4
48,H,M,0,4,10,20,25,1,15
64,H,F,0,5,20,20,25,0,10
63,H,M,0,4,10,25,25,0,4
47,H,M,2,5,15,15,25,6,10
72,H,F,1,1,10,15,25,8,8
63,H,M,0,7,3,10,25,12,13
53,H,F,0,1,10,20,25,0,18
82,H,F,0,4,5,30,25,0,3
45,H,M,0,5,10,25,25,0,6
50,H,M,0,5,28,28,25,0,11
46,H,F,0,1,20,20,25,0,6
53,H,F,0,5,13,25,25,1,27
50,H,F,0,1,10,20,25,0,22
76,H,M,0,5,15,25,25,6,2
81,H,M,0,5,15,35,25,2,17
42,H,F,2,5,15,25,25,0,6
28,H,F,0,4,3,20,25,0,4
50,H,M,0,5,25,25,25,0,4
92,H,F,0,1,7,25,25,0,2
78,H,M,0,4,5,25,25,17,8
55,U,F,0,1,15,20,25,0,2
68,U,F,0,1,20,50,25,0,5
79,H,M,0,5,10,25,25,6,3
86,H,F,0,2,5,20,25,1,3
67,H,M,0,3,20,25,25,0,12
46,H,F,0,5,3,31,25,0,2
94,H,M,0,7,10,25,25,0,23
72,H,M,0,1,5,25,25,0,8
57,H,F,0,1,25,50,25,0,15
46,U,F,1,4,5,20,25,5,9
40,H,F,0,6,5,25,25,0,3
72,H,F,0,1,10,20,25,0,13
57,H,F,0,1,20,20,25,0,6
58,U,M,0,1,5,25,25,0,8
58,U,F,0,3,5,40,25,0,12
70,H,F,0,5,10,32,25,0,9
78,H,M,0,1,5,26,25,0,4
41,H,F,0,4,5,20,25,0,14
86,H,M,0,1,10,25,25,18,8
83,H,F,0,1,5,142,25,0,5
59,H,M,0,7,3,20,25,4,6
48,H,M,0,4,3,25,25,0,6
91,H,F,0,5,10,30,25,1,25
81,U,M,0,2,5,30,25,0,29
62,H,F,2,6,25,25,25,0,8
52,H,M,0,1,5,15,25,0,31
72,H,M,0,6,5,15,25,1,2
83,H,F,0,1,5,28,25,0,5
70,H,F,0,2,20,20,25,0,5
42,H,F,1,6,25,25,25,3,2
58,H,M,0,2,5,20,25,4,3
54,H,F,1,7,15,15,25,8,9
48,U,F,0,1,10,20,25,0,13
49,H,M,0,7,20,20,25,1,10
38,H,F,2,4,5,20,25,0,4
67,H,F,1,4,5,30,25,14,11
36,H,F,0,6,3,20,25,0,9
67,H,M,0,1,20,75,25,0,8
59,H,M,0,2,5,25,25,0,2
40,H,F,0,5,3,20,25,4,4
51,H,F,0,5,5,25,25,4,7
82,H,F,0,1,10,21,25,0,7
74,H,F,0,3,5,25,25,0,9
53,H,F,0,7,5,16,25,2,9
63,H,M,1,5,0,38,25,0,8
76,H,M,0,6,10,30,25,8,9
59,U,M,0,3,2,20,25,0,17
65,U,M,0,1,2,34,25,0,13
62,H,M,0,1,20,25,25,0,24
66,H,F,0,7,20,20,25,0,6
68,H,F,0,1,20,20,25,0,2
59,H,F,0,7,25,25,25,6,3
57,U,F,0,1,6,15,25,0,17
28,H,F,0,4,10,15,25,0,27
52,H,M,1,6,25,25,25,5,10
44,H,M,0,5,15,21,25,2,11
46,H,F,1,5,5,17,25,0,3
59,H,F,0,1,5,25,25,0,12
74,H,M,0,7,5,21,25,0,10
64,H,F,0,5,5,15,25,6,8
76,H,M,0,4,10,50,25,42,2
56,H,F,0,5,5,15,25,0,5
35,H,F,0,4,5,21,25,0,15
38,H,F,0,2,20,20,25,0,7
82,U,M,0,1,5,25,25,0,12
51,H,M,0,1,5,20,25,0,4
56,U,M,0,5,5,15,25,0,8
62,H,M,0,7,5,25,25,8,16
43,H,F,0,1,10,20,25,0,3
66,H,M,0,6,10,20,25,0,15
48,H,F,0,7,15,15,25,24,6
63,H,F,0,3,3,20,25,0,15
82,H,M,0,2,3,15,25,2,2
47,U,F,0,6,5,50,25,10,3
70,H,M,0,6,15,100,25,0,15
53,H,F,0,5,5,25,25,0,1
49,U,M,1,4,5,20,25,1,9
52,H,F,0,4,10,15,25,0,24
68,H,F,0,1,10,26,25,0,8
83,H,F,0,6,0,15,25,7,11
65,U,M,0,6,5,32,25,14,8
53,U,M,0,2,25,25,25,3,5
64,U,F,0,4,5,25,25,0,16
60,U,M,0,1,3,50,25,0,5
36,H,M,1,5,20,50,25,0,9
72,U,F,0,1,10,25,25,0,7
55,H,M,0,4,10,25,25,26,1
58,H,M,0,6,20,25,25,1,21
57,U,M,0,1,10,25,25,0,6
80,H,M,0,7,15,15,25,0,0
72,H,F,0,6,25,25,25,16,5
57,H,M,0,1,20,20,25,0,3
88,H,F,0,6,25,25,25,25,0
42,U,F,1,3,25,25,25,0,20
50,U,M,0,5,9,20,25,3,8
76,H,F,0,1,25,25,25,13,3
44,H,M,1,6,25,25,25,1,6
64,H,F,0,2,10,25,25,0,4
73,U,M,0,3,5,15,25,0,12
45,U,M,0,3,10,25,25,2,15
62,H,F,0,1,5,25,25,0,13
78,H,M,0,1,20,20,25,0,7
51,H,F,0,7,5,30,25,2,5
49,H,M,1,5,5,25,25,5,4
47,H,F,1,7,5,25,25,0,10
69,H,F,0,1,10,20,25,0,4
44,U,F,0,2,5,30,25,0,10
56,H,F,0,1,2,25,25,0,8
56,H,F,0,7,10,50,25,0,1
54,U,F,0,1,10,30,25,0,5
43,H,F,0,5,2,50,25,2,7
82,U,F,0,1,10,20,25,0,19
53,U,F,0,3,5,25,25,0,7
74,U,F,0,1,10,25,25,0,23
50,H,M,0,1,3,23,25,0,14
67,H,F,0,6,10,30,25,2,10
92,H,F,0,1,5,25,25,0,13
40,H,F,1,5,2,25,25,2,6
69,H,F,0,5,25,25,25,19,5
75,H,F,0,6,10,50,25,27,22
56,H,F,0,5,25,100,25,10,4
37,U,M,0,1,5,25,25,0,6
56,U,F,1,2,10,25,25,0,21
71,H,F,0,1,10,30,25,0,6
73,H,M,0,1,0,25,25,43,19
74,H,F,0,3,20,33,25,0,5
55,U,M,0,1,5,25,25,0,2
60,H,F,0,5,5,15,25,3,6
57,H,M,0,7,5,25,25,0,9
53,H,M,2,5,5,15,25,2,13
52,H,M,0,7,5,25,25,1,23
74,U,F,0,1,5,30,25,3,5
84,U,F,0,1,20,50,25,0,8
50,U,F,0,5,10,20,25,1,8
70,U,M,0,1,10,50,25,0,5
50,H,M,1,7,25,50,25,1,10
76,U,F,0,3,5,25,25,0,6
38,H,F,0,1,3,30,25,0,10
74,U,F,0,2,25,25,25,0,11
76,U,M,0,3,5,19,25,0,6
54,H,F,0,6,5,30,25,9,34
46,U,F,0,5,5,40,25,0,2
60,U,F,0,1,25,25,25,0,4
53,U,F,0,1,3,25,25,0,11
78,H,F,0,6,10,20,25,0,13
56,H,F,0,1,20,25,25,0,6
44,H,M,0,1,10,15,25,0,3
40,H,F,1,5,25,25,25,2,10
73,H,M,0,3,5,25,25,0,30
53,H,M,0,1,20,25,25,0,10
54,H,F,0,3,5,20,25,4,8
61,H,F,0,1,10,20,25,0,12
46,H,F,1,5,1.25,16,25,1,2
66,H,M,0,1,10,50,25,0,4
44,U,F,0,1,5,25,25,0,8
74,U,F,0,2,15,15,25,0,7
43,H,M,1,6,6,21,25,5,7
49,H,M,0,4,5,28,25,12,5
76,H,F,0,3,15,15,25,6,5
49,U,F,0,7,5,45,25,5,2
86,U,M,0,1,10,25,25,0,1
84,H,F,0,1,10,25,25,8,8
43,U,F,0,1,7,20,25,0,10
68,U,M,0,2,25,25,25,0,6
51,H,F,0,6,8,25,25,16,10
55,H,F,0,1,5,50,25,0,4
75,H,F,0,3,5,15,25,7,15
60,H,F,0,2,10,24,25,0,11
48,H,M,1,5,15,25,25,0,18
26,H,M,0,1,20,30,25,0,36
76,H,M,4,6,25,25,25,11,2
78,U,F,1,5,10,15,25,1,2
67,H,F,0,1,10,25,25,0,14
51,H,F,1,4,3,20,25,0,4
38,U,M,0,2,13,20,25,0,8
68,H,F,0,5,5,15,25,15,14
68,H,M,0,7,20,25,25,0,12
68,H,M,0,6,50,50,25,0,6
60,H,F,0,3,3,20,25,9,10
48,H,F,0,7,20,20,25,1,6
69,H,F,0,1,20,35,25,0,4
75,H,M,0,1,25,25,25,0,5
71,H,M,0,5,25,25,25,1,26
66,H,M,0,7,5,25,25,5,3
45,H,F,2,3,5,25,25,0,20
64,H,F,0,1,10,21,25,0,11
68,U,M,0,2,5,20,25,0,3
76,U,F,0,1,10,22,25,0,10
49,H,F,0,6,20,25,25,0,10
78,H,M,0,3,10,15,25,3,10
43,H,F,1,6,10,25,25,0,4
67,H,M,0,7,10,16,25,7,2
30,H,F,0,7,3,17,25,1,7
44,H,M,0,6,10,22,25,0,2
65,U,M,0,6,20,40,25,0,9
68,H,F,0,4,5,20,25,8,17
58,H,M,0,5,10,20,25,0,7
48,H,F,0,7,5,25,25,1,14
78,U,M,0,1,5,31,25,0,6
51,H,M,0,1,10,15,25,0,15
40,H,M,0,7,25,25,25,2,2
67,H,F,0,1,5,25,25,0,2
57,U,M,0,4,15,15,25,1,7
78,H,F,0,1,5,25,25,0,6
52,H,M,1,6,10,20,25,2,12
42,U,F,0,1,3,20,25,0,11
50,H,F,0,6,20,30,25,4,4
71,H,F,0,3,10,25,25,13,6
45,H,F,1,5,25,25,25,13,10
40,H,F,0,6,10,30,25,0,9
46,H,F,1,7,10,15,25,0,9
45,H,F,0,1,3,20,25,0,10
78,H,M,0,1,6,50,25,0,3
50,U,F,0,1,10,15,25,0,5
39,U,F,0,1,5,25,25,0,5
76,U,F,0,1,5,20,25,0,6
43,H,F,0,6,25,25,25,7,10
73,U,M,1,2,15,15,25,0,4
56,H,F,0,1,5,30,25,0,7
72,H,M,0,4,1,11,25,0,9
66,H,F,1,7,10,20,25,0,2
56,U,F,0,1,10,25,25,0,7
61,H,F,0,5,2,25,25,11,3
68,H,F,0,7,10,50,25,6,2
62,H,F,0,7,15,25,25,10,4
62,H,F,0,1,5,25,25,0,5
56,H,F,0,5,15,30,25,3,7
68,H,M,0,4,3,30,25,0,12
59,H,M,0,1,10,25,25,0,11
49,U,F,0,1,5,25,25,0,2
62,U,M,0,5,5,17,25,0,22
78,H,M,0,6,15,25,25,1,18
66,H,F,0,7,10,25,25,17,6
74,H,F,0,2,5,25,25,27,19
50,H,M,0,4,5,20,25,0,5
45,H,F,0,5,10,25,25,2,12
55,H,F,0,1,25,25,25,0,10
66,U,M,0,1,5,30,25,0,3
74,H,M,0,7,2,10,25,0,3
57,H,M,0,5,5,15,25,44,8
38,H,M,0,3,5,25,25,0,10
48,U,F,0,1,25,25,25,0,9
67,U,F,0,5,10,25,25,0,3
64,H,F,0,7,10,20,25,6,44
45,H,F,0,7,5,25,25,0,3
52,H,F,0,1,10,20,25,0,7
70,H,M,0,5,5,30,25,26,5
73,H,F,0,1,20,20,25,0,4
94,U,F,0,5,5,36,25,29,5
56,U,F,0,1,5,25,25,0,6
45,H,M,0,5,10,25,25,1,11
54,H,F,0,5,5,20,25,2,9
66,H,M,0,6,20,20,25,8,6
58,H,M,0,1,5,30,25,0,12
81,H,F,0,5,10,50,25,26,10
67,U,F,0,2,5,25,25,0,5
62,U,F,0,2,5,25,25,1,25
61,H,M,0,3,10,25,25,16,1
83,H,F,1,6,1.25,7,25,9,5
52,U,F,0,2,10,20,25,0,4
48,U,M,0,1,20,20,25,0,5
75,U,F,0,1,25,25,25,0,5
63,U,M,0,1,10,20,25,0,15
64,U,F,0,1,10,60,25,0,16
42,H,F,1,6,10,25,25,9,8
85,H,M,0,4,25,25,25,11,7
60,H,F,0,7,10,20,25,4,13
68,H,M,0,2,3,20,25,0,14
84,U,F,0,1,10,25,25,0,1
78,H,M,0,7,5,25,25,1,4
48,H,F,1,5,3,25,25,10,14
40,H,M,3,4,10,15,25,0,1
59,H,F,0,1,53,53,25,0,6
46,H,M,0,1,3,25,25,0,2
39,H,M,0,1,15,15,25,0,4
77,H,M,0,1,5,25,25,6,6
66,H,M,0,5,25,25,25,2,5
54,U,F,0,3,10,20,25,0,5
51,U,F,0,1,10,20,25,0,12
